1000 0.00017497
2000 0.00037868
3000 0.000598204
4000 0.000825488
5000 0.00105752
6000 0.00129037
7000 0.00153006
8000 0.00178015
9000 0.00202769
10000 0.0022955
11000 0.00258441
12000 0.00279318
13000 0.00308023
14000 0.00330214
15000 0.00358533
16000 0.00398833
17000 0.00409101
18000 0.0044012
19000 0.00464689
20000 0.00492188
21000 0.00529087
22000 0.00552513
23000 0.0057294
24000 0.00665445
25000 0.00633559
26000 0.00661504
27000 0.00687761
28000 0.00719895
29000 0.00744019
30000 0.00771108
31000 0.0080522
