1000 0.0001408
2000 0.000351769
3000 0.000483662
4000 0.000623891
5000 0.000977827
6000 0.00100361
7000 0.00118646
8000 0.00137169
9000 0.00154319
10000 0.00171043
11000 0.00194531
12000 0.00214346
13000 0.00237173
14000 0.00247908
15000 0.00271816
16000 0.00287884
17000 0.00304283
18000 0.003229
19000 0.0034906
20000 0.0036687
21000 0.00388547
22000 0.00410549
23000 0.00428294
24000 0.00460665
25000 0.0046484
26000 0.00490615
27000 0.00509796
28000 0.00543478
29000 0.00546771
30000 0.00573111
31000 0.00580638
